,ยี่ห้อ-รุ่น,ยี่ห้อ,ประเภท,เชื้อเพลิง,ขนาดเครื่องยนต์,รุ่นเครื่องยนต์,ระบบขับเคลื่อน,ระบบเกียร์
408,Rolls-Royce Ghost new Ghost โกสต์ ปี 2020,Rolls-Royce,รถเก๋ง 4 ประตู,"เบนซิน 95, เบนซิน 91","6,750 cc. 563 แรงม้า(BHP)",V12 DOHC 48 วาล์ว Twin Turbo,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF)
409,Isuzu D-MAX Spark 1.9 Ddi Cab Chassis AT MY19 ดีแมคซ์ ปี 2019,Isuzu,รถกระบะ 2 ประตู (ตอนเดียว),"ดีเซล, ไบโอดีเซล B5","1,898 cc. 150 แรงม้า(PS)",RZ4E-TC 4 สูบ DOHC 16 วาล์ว คอมมอนเรลไดเร็คอินเจคชั่น พร้อมเทอร์โบแบบ VGS และอินเตอร์คูลเลอร์...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 6AT (พร้อมโหมดการขับขี่แบบสปอร์ต Rev Tronic)
410,Isuzu D-MAX Spark 1.9 Ddi S AT MY19 ดีแมคซ์ ปี 2019,Isuzu,รถกระบะ 2 ประตู (ตอนเดียว),"ดีเซล, ไบโอดีเซล B5","1,898 cc. 150 แรงม้า(PS)",RZ4E-TC 4 สูบ DOHC 16 วาล์ว คอมมอนเรลไดเร็คอินเจคชั่น พร้อมเทอร์โบแบบ VGS และอินเตอร์คูลเลอร์...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 6AT (พร้อมโหมดการขับขี่แบบสปอร์ต Rev Tronic)
411,Isuzu D-MAX Spacecab 1.9 Ddi S AT MY19 ดีแมคซ์ ปี 2019,Isuzu,รถกระบะ 2 ประตู (ตอนเดียว),"ดีเซล, ไบโอดีเซล B5","1,898 cc. 150 แรงม้า(PS)","RZ4E-TC, 4 สูบ DOHC 16 วาล์ว ดับเบิ้ลโอเวอร์เฮดแคมชาฟท์ (DOHC) ระบายความร้อนด้วยน้ำ คอมมอนเรลได...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 6AT (พร้อมโหมดการขับขี่แบบสปอร์ต Rev Tronic)
412,Isuzu D-MAX CAฺB 4 1.9 Ddi S AT MY19 ดีแมคซ์ ปี 2019,Isuzu,รถกระบะ 4 ประตู,"ดีเซล, ไบโอดีเซล B5","1,898 cc. 150 แรงม้า(PS)","RZ4E-TC, 4 สูบ DOHC 16 วาล์ว ดับเบิ้ลโอเวอร์เฮดแคมชาฟท์ (DOHC) ระบายความร้อนด้วยน้ำ คอมมอนเรลได...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 6AT (พร้อมโหมดการขับขี่แบบสปอร์ต Rev Tronic)
413,Toyota Yaris Entry 2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 5 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FE, 4 สูบ DOHC 16 วาล์ว Dual VVT-iE  68 แรงม้า (92 PS) / 6000 แรงบิด 109 (11.1 กก.-เมตร) / ...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
414,Toyota Yaris Sport MY2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 5 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FE, 4 สูบ DOHC 16 วาล์ว Dual VVT-iE  68 แรงม้า (92 PS) / 6000 แรงบิด 109 (11.1 กก.-เมตร) / ...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
415,Toyota Yaris ATIV Entry MY2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 4 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FKE 1,200 ซีซี DUAL VVT-iE 4 สูบ DOHC 16 วาล์ว มาตรฐานไอเสีย EURO 5 อัตราการประหยัดน้ำมัน 23.3 ก...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
416,Toyota Yaris Sport Premium MY2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 5 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FE, 4 สูบ DOHC 16 วาล์ว Dual VVT-iE  68 แรงม้า (92 PS) / 6000 แรงบิด 109 (11.1 กก.-เมตร) / ...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
417,Toyota Yaris ATIV Sport MY2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 4 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FKE 1,200 ซีซี DUAL VVT-iE 4 สูบ DOHC 16 วาล์ว มาตรฐานไอเสีย EURO 5 อัตราการประหยัดน้ำมัน 23.3 ก...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
418,Toyota Yaris ATIV Sport Premium MY2021 ยาริส ปี 2021,Toyota,"รถเก๋ง 4 ประตู, Eco Car - รถอีโคคาร์","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20","1,197 cc. 92 แรงม้า(PS)","3NR-FKE 1,200 ซีซี DUAL VVT-iE 4 สูบ DOHC 16 วาล์ว มาตรฐานไอเสีย EURO 5 อัตราการประหยัดน้ำมัน 23.3 ก...",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (Super CVT-i พร้อม Shift Lock)
419,Audi A4 Avant 45 TFSI quattro S line Black Edition เอ4 ปี 2020,Audi,"รถเก๋ง 5 ประตู, รถเก๋งแวน/เอสเตท","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","1,984 cc. 249 แรงม้า(HP)",เบนซิน 4 สูบ แถวเรียง DOHC พร้อม Turbocharging และ Indirect Intercooling mild hybrid (MHEV) 4 ส...,ขับเคลื่อนสี่ล้อ (quattro with ultra- technology),เกียร์ออโต้ 7AT (แบบ S-Tronic)
420,Mitsubishi Pajero Sport GT-PLUS ปาเจโร่ สปอร์ต ปี 2020,Mitsubishi,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5, ไบโอดีเซล B20","2,442 cc. 181 แรงม้า(PS)","4N15, 4 สูบแถวเรียง DOHC 16 วาล์ว MIVEC VG Turbo Interocooler",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sport Mode และระบบ INC (Idle Neutral Control) + G-Sensor)
421,Land Rover Defender 110 Petrol 3.0 X Ingenium MHEV ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","2,996 cc. 400 แรงม้า(HP)","เครื่องยนต์เบนซินวี 6 สูบ 3.0 ลิตร เทอร์โบพร้อมมอเตอร์ไฟฟ้า ให้กำลังสูงสุด 400 แรงม้า ที่ 5,500 รอบ/...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
422,Land Rover Defender 90 Petrol 3.0 X Ingenium MHEV ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","2,996 cc. 400 แรงม้า(HP)","เครื่องยนต์เบนซินวี 6 สูบ 3.0 ลิตร เทอร์โบพร้อมมอเตอร์ไฟฟ้า ให้กำลังสูงสุด 400 แรงม้า ที่ 5,500 รอบ/...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
423,Land Rover Defender 110 Petrol 3.0 SE Ingenium MHEV ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","2,996 cc. 400 แรงม้า(HP)","เครื่องยนต์เบนซินวี 6 สูบ 3.0 ลิตร เทอร์โบพร้อมมอเตอร์ไฟฟ้า ให้กำลังสูงสุด 400 แรงม้า ที่ 5,500 รอบ/...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
424,Land Rover Defender 90 Petrol 3.0 SE Ingenium MHEV ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","2,996 cc. 400 แรงม้า(HP)","เครื่องยนต์เบนซินวี 6 สูบ 3.0 ลิตร เทอร์โบพร้อมมอเตอร์ไฟฟ้า ให้กำลังสูงสุด 400 แรงม้า ที่ 5,500 รอบ/...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
425,Land Rover Defender 110 Petrol 2.0 SE Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,997 cc. 300 แรงม้า(HP)","เบนซิน 4 สูบ 2.0 ลิตร เทคโนโลยีเทอร์โบคู่ ให้กำลังสูงสุด 300 แรงม้า ที่ 5,500 รอบ/นาที แรงบิด 400 นิ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
426,BMW X3 xDrive30e M Sport(Pro) เอ็กซ์3 ปี 2020,BMW,"รถไฮบริด, รถอเนกประสงค์ SUV","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,995 cc. 184 แรงม้า(HP)",เครื่องยนต์เบนซิน 4 สูบ DOHC 16 วาล์ว TwinPower Turbo + มอเตอร์ไฟฟ้า Synchronous Electric Mo...,ขับเคลื่อนสี่ล้อ Full Time (แบบ xDrive),เกียร์ออโต้ 8AT (พร้อม Sport Steptronic)
427,Honda CR-V DT-EL 4WD MY2020 ซีอาร์-วี ปี 2020,Honda,รถอเนกประสงค์ SUV,ดีเซล,"1,597 cc. 160 แรงม้า(HP)",ดับเบิลโอเวอร์เฮดแคมชาฟท์ (DOHC) 4 สูบ 16 วาล์ว i-DTEC 2 STAGE TURBO...,ขับเคลื่อนสี่ล้อ,เกียร์อัตโนมัติแบบ 9AT
428,Honda CR-V 2.4 EL 4WD MY2020 ซีอาร์-วี ปี 2020,Honda,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","2,356 cc. 173 แรงม้า(HP)",เบนซิน 4 สูบ DOHC 16 วาล์ว i-VTEC Earthdreams,ขับเคลื่อนสี่ล้อ,เกียร์ออโต้แบบ CVT (ควบคุมด้วยระบบอิเล็กทรอนิกส์ Grade Logic Control)
429,Honda CR-V 2.4 E MY2020 ซีอาร์-วี ปี 2020,Honda,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","2,356 cc. 173 แรงม้า(HP)",เบนซิน 4 สูบ DOHC 16 วาล์ว i-VTEC Earthdreams,ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (ควบคุมด้วยระบบอิเล็กทรอนิกส์ Grade Logic Control)
430,Honda CR-V 2.4 ES 4WD 5 Seat MY2020 ซีอาร์-วี ปี 2020,Honda,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","2,356 cc. 173 แรงม้า(HP)",เบนซิน 4 สูบ DOHC 16 วาล์ว i-VTEC Earthdreams,ขับเคลื่อนสี่ล้อ,เกียร์ออโต้แบบ CVT (ควบคุมด้วยระบบอิเล็กทรอนิกส์ Grade Logic Control)
431,Honda CR-V 2.4 S 2WD 5 Seat MY2020 ซีอาร์-วี ปี 2020,Honda,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91, เบนซิน E20, เบนซิน E85","2,356 cc. 173 แรงม้า(HP)",เบนซิน 4 สูบ DOHC 16 วาล์ว i-VTEC Earthdreams,ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT (ควบคุมด้วยระบบอิเล็กทรอนิกส์ Grade Logic Control)
432,Ferrari F8 Spider V8  ปี 2020,Ferrari,รถเก๋งซูเปอร์คาร์,เบนซิน 98,"3,902 cc. 720 แรงม้า(HP)","เครื่องยนต์เบนซิน แบบ V8 ขนาด 4.0 ลิตร 3,902 ซีซี. เทอร์โบ...",ขับเคลื่อนสี่ล้อ,เกียร์ออโต้ 8AT (F1 Dual-clutch)
433,Ferrari 812 GTS V12  ปี 2020,Ferrari,รถเก๋งซูเปอร์คาร์,เบนซิน 98,"6,496 cc. 800 แรงม้า(HP)","วี12 สูบ 6,500 ซีซี naturally aspirated",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 7AT (Dual-clutch)
434,Audi RS TT Coupe quattro  ปี 2020,Audi,รถเก๋ง 2 ประตู (สปอร์ตคูเป้),"เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,480 cc. 400 แรงม้า(HP)",เครื่องยนต์เบนซิน 5 สูบ พร้อมระบบจ่ายน้ำมันเชื้อเพลิง แบบฉีดตรง (direct injection) และ Turbocharging...,ขับเคลื่อนสี่ล้อ Full Time (ขับเคลื่อนสี่ล้อตลอดเวลา (quattro permanent all-wheel drive)),เกียร์ออโต้ 7AT (S tronic 7-Speed)
435,Audi RS Q8 quattro  ปี 2020,Audi,"รถไฮบริด (Mild hybrid), รถอเนกประสงค์ SUV","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","3,996 cc. 600 แรงม้า(HP)",เครื่องยนต์เบนซิน mild hybrid (MHEV) แบบ V8 พร้อมระบบจ่ายน้ำมันเชื้อเพลิงแบบฉีดตรง (direct inject...,ขับเคลื่อนสี่ล้อ Full Time (ระบบ quattro),เกียร์ออโต้ 8AT (TipTronic พร้อมระบบ Dynamic Shift Programme (DSP))
436,Audi RS 4 Avant quattro  ปี 2020,Audi,"รถเก๋ง 5 ประตู, รถเก๋งแวน/เอสเตท","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,894 cc. 450 แรงม้า(HP)",V6 พร้อม Turbocharging และ Indirect Intercooling,ขับเคลื่อนสี่ล้อ,เกียร์ออโต้ 8AT (แบบ triptronic)
437,Mercedes-benz GLB-Class GLB 200 Progressive  ปี 2020,Mercedes-benz,รถอเนกประสงค์ SUV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10), เบนซิน E20","1,332 cc. 163 แรงม้า(HP)",4 สูบแถวเรียง DOHC 16 วาล์ว Turbo Intercooler,ขับเคลื่อนล้อหน้า,เกียร์ออโต้ 7AT (7G-DCT)
438,Toyota COROLLA CROSS 1.8 Sport  ปี 2020,Toyota,รถอเนกประสงค์ SUV,"เบนซิน 95, แก๊สโซฮอล์ 95 (E10), เบนซิน E20, เบนซิน E85","1,798 cc. 140 แรงม้า(PS)","2ZR-FBE, 4 สูบแถวเรียง DOHC 16 วาล์ว Dual VVT-i",ขับเคลื่อนล้อหน้า,เกียร์ออโต้แบบ CVT
439,Mitsubishi Pajero Sport 2.4 GT-Premium 4WD Elite Edition ปาเจโร่ สปอร์ต ปี 2020,Mitsubishi,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5","2,442 cc. 181 แรงม้า(PS)","4N15, 4 สูบแถวเรียง DOHC 16 วาล์ว MIVEC VG Turbo Interocooler",ขับเคลื่อนสี่ล้อ,เกียร์ออโต้ 8AT (พร้อม Sport Mode และระบบ INC (Idle Neutral Control) + G-Sensor)
440,Mitsubishi Pajero Sport 2.4 GT-Premium 2WD Elite Edition ปาเจโร่ สปอร์ต ปี 2020,Mitsubishi,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5","2,442 cc. 181 แรงม้า(PS)","4N15, 4 สูบแถวเรียง DOHC 16 วาล์ว MIVEC VG Turbo Interocooler",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (พร้อม Sport Mode และระบบ INC (Idle Neutral Control) + G-Sensor)
441,Land Rover Defender 90 Petrol 2.0 SE Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,997 cc. 300 แรงม้า(HP)","เบนซิน 4 สูบ 2.0 ลิตร เทคโนโลยีเทอร์โบคู่ ให้กำลังสูงสุด 300 แรงม้า ที่ 5,500 รอบ/นาที แรงบิด 400 นิ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
442,Land Rover Defender 110 Diesel 2.0 SE Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 240 แรงม้า(HP)",เครื่องยนต์ 4 สูบ ดีเซล D240 คอมมอนแรลเทอร์โบ 240 แรงม้า แรงบิด 430 นิวตันเมตร...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
443,Land Rover Defender 90 Diesel 2.0 SE Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 240 แรงม้า(HP)",เครื่องยนต์ 4 สูบ ดีเซล D240 คอมมอนแรลเทอร์โบ 240 แรงม้า แรงบิด 430 นิวตันเมตร...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
444,Land Rover Defender 110 2.0 Diesel 2.0 S Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 200 แรงม้า(HP)",เครื่องยนต์ 4 สูบ ดีเซล D200 คอมมอนแรลเทอร์โบ 200 แรงม้า แรงบิด 430 นิวตันเมตร...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
445,Land Rover Defender 90 Diesel 2.0 S Ingenium ดิเฟนเดอร์ ปี 2020,Land Rover,รถอเนกประสงค์ SUV,ดีเซล,"1,999 cc. 200 แรงม้า(HP)",เครื่องยนต์ 4 สูบ ดีเซล D200 คอมมอนแรลเทอร์โบ 200 แรงม้า แรงบิด 430 นิวตันเมตร หรือสามารถเลือกเครื่อ...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (ZF8)
446,Land Rover Range Rover Evoque 2.0 Litre Ingenium Diesel SE เรนจ์โรเวอร์อีโวค ปี 2019,Land Rover,รถอเนกประสงค์ SUV,"เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,999 cc. 180 แรงม้า(PS)","เครื่องยนต์ดีเซล Ingenium ขนาด 2.0 ลิตร กำลังสูงสุด 180 แรงม้า ที่ 4,000 รอบต่อนาที แรงบิด 430 ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์อัตโนมัติ 9AT
447,Land Rover Range Rover Evoque 1.5 Litre Plug-in Hybrid Petrol SE R-Dynamic เรนจ์โรเวอร์อีโวค ปี 2019,Land Rover,"รถไฮบริด, รถอเนกประสงค์ SUV","เบนซิน 95, เบนซิน 91, แก๊สโซฮอล์ 95 (E10), แก๊สโซฮอล์ 91","1,497 cc. 300 แรงม้า(PS)","เครื่องยนต์เบนซิน ขนาด 1.5 ลิตร 3 สูบ กำลังสูงสุด 300 แรงม้า ที่ 5,500 รอบต่อนาที พร้อมระบบไฟฟ้าไฮบร...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT
448,Mercedes-benz G-Class G 350 d Sport MY2020 จี-คลาส ปี 2020,Mercedes-benz,รถอเนกประสงค์ SUV,"ดีเซล, ไบโอดีเซล B5","2,925 cc. 286 แรงม้า(HP)",เครื่องยนต์ดีเซล 6 สูบแถวเรียง เทอร์โบคู่ ...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์อัตโนมัติ 9AT (9G-TRONIC)
449,Porsche Panamera 4 E-Hybrid executive พานาเมร่า ปี 2019,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, รถไฮบริด","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,894 cc. 462 แรงม้า(HP)","V6 DOHC 24 วาล์ว ความจุ 2,894 ซีซี กำลังสูงสุด 330 แรงม้า แรงบิด 450 นิวตันเมตร พร้อมมอเตอร์ไฟฟ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (แบบ Porsche Doppelkupplung (PDK))
450,Porsche Panamera 4 E-Hybrid Sport Turismo พานาเมร่า ปี 2019,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, รถไฮบริด","เบนซิน 95, แก๊สโซฮอล์ 95 (E10)","2,894 cc. 462 แรงม้า(HP)","V6 DOHC 24 วาล์ว ความจุ 2,894 ซีซี กำลังสูงสุด 330 แรงม้า แรงบิด 450 นิวตันเมตร พร้อมมอเตอร์ไฟฟ...",ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (แบบ Porsche Doppelkupplung (PDK))
451,Porsche Taycan Turbo S  ปี 2020,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, Electric - EV",ไฟฟ้า,761 แรงม้า(HP),"ติดตั้งระบบไฟฟ้าแรงขับเคลื่อนสูง 800 โวลต์ มอเตอร์ไฟฟ้า 2 ชุด หน้าและหลัง 761 แรงม้า แรงบิด 1,050 นิ...",ขับเคลื่อนสี่ล้อ Full Time,2 จังหวะ
452,Porsche Taycan Turbo  ปี 2020,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, Electric - EV",ไฟฟ้า,680 แรงม้า(HP),ติดตั้งระบบไฟฟ้าแรงขับเคลื่อนสูง 800 โวลต์ มอเตอร์ไฟฟ้า 2 ชุด หน้าและหลัง 680 แรงม้า แรงบิด 850 นิวต...,ขับเคลื่อนสี่ล้อ Full Time,2 จังหวะ
453,Porsche Taycan 4S Plus  ปี 2020,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, Electric - EV",ไฟฟ้า,530 แรงม้า(HP),ติดตั้งระบบไฟฟ้าแรงขับเคลื่อนสูง 800 โวลต์ มอเตอร์ไฟฟ้า 2 ชุด หน้าและหลัง 571 แรงม้า แรงบิด 650 นิวต...,ขับเคลื่อนสี่ล้อ Full Time,2 จังหวะ
454,Porsche Taycan 4S  ปี 2020,Porsche,"รถเก๋ง 4 ประตู, รถเก๋งซูเปอร์คาร์, Electric - EV",ไฟฟ้า,530 แรงม้า(HP),ติดตั้งระบบไฟฟ้าแรงขับเคลื่อนสูง 800 โวลต์ มอเตอร์ไฟฟ้า 2 ชุด หน้าและหลัง 530 แรงม้า แรงบิด 640 นิวต...,ขับเคลื่อนสี่ล้อ Full Time,2 จังหวะ
455,Porsche 911 Turbo S Cabriolet  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"3,745 cc. 650 แรงม้า(PS)","เครื่องยนต์ 6 สูบนอน 3,745 ซีซี 24 วาล์ว VarioCam 650 แรงม้า ที่ 6,750 รอบ/นาที แรงบิด 800...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (PDK)
456,Porsche 911 Turbo S  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"3,745 cc. 650 แรงม้า(PS)","เครื่องยนต์ 6 สูบนอน 3,745 ซีซี 24 วาล์ว VarioCam 650 แรงม้า ที่ 6,750 รอบ/นาที แรงบิด 800...",ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (PDK)
457,Porsche 911 Targa 4S  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 450 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 450 แรงม้า แรงบิด 530 นิวตัน...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
458,Porsche 911 Targa 4  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 385 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 385 แรงม้า แรงบิด 450 นิวตัน...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
459,Porsche 911 Carrera 4S Cabriolet  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 450 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 450 แรงม้า แรงบิด 530 นิวตัน...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
460,Porsche 911 Carrera S Carbriolet  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 450 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 450 แรงม้า แรงบิด 530 นิวตัน...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
461,Porsche 911 Carrera 4 Carbriolet  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 385 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 385 แรงม้า แรงบิด 450 นิวตัน...,ขับเคลื่อนสี่ล้อ Full Time,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
462,Porsche 911 Carrera Carbriolet  ปี 2019,Porsche,"รถเก๋ง 2 ประตู, รถเก๋งซูเปอร์คาร์",เบนซิน 95,"2,981 cc. 385 แรงม้า(HP)",6 สูบ DOHC 24 วาล์ว BOXER Bi-Turbo Charging พร้อม VarioCam Plus 385 แรงม้า แรงบิด 450 นิวตัน...,ขับเคลื่อนล้อหลัง,เกียร์ออโต้ 8AT (PDK (Porsche Doppelkupplung))
